Ticker,Sector,Shares Float,Gap %,Pre-market High,Pre-market Volume,Volume,Last,Open,High,Low,Change %,Change,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Exponential Moving Average (20),Exponential Moving Average (200),Exponential Moving Average (30),Exponential Moving Average (5),Exponential Moving Average (50),1-Month High,1-Month Low,1-Year Beta,3-Month High,3-Month Low,3-Month Performance,52 Week High,52 Week Low,6-Month High,6-Month Low,6-Month Performance,All Time High,All Time Low,Average Day Range (14),Average Directional Index (14),Average True Range (14),Average Volume (10 day),Average Volume (30 day),Average Volume (60 day),Average Volume (90 day),Basic EPS (FY),Change 15m,"Change 15m, %",Change 1h,"Change 1h, %",Change 1m,"Change 1m, %",Change 4h,"Change 4h, %",Change 5m,"Change 5m, %",Change from Open,Change from Open %,Country,Enterprise Value (MRQ),Enterprise Value/EBITDA (TTM),Exchange,Exponential Moving Average (10),Exponential Moving Average (100),Industry,Momentum (10),Monthly Performance,Number of Shareholders,Pattern,Post-market Change,Post-market Change %,Post-market Close,Post-market High,Post-market Low,Post-market Open,Post-market Volume,Pre-market Change,Pre-market Change %,Pre-market Change from Open,Pre-market Change from Open %,Pre-market Close,Pre-market Gap %,Pre-market Low,Pre-market Open,Price to Book (FY),Price to Book (MRQ),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Rate Of Change (9),Recent Earnings Date,Relative Volume,Revenue per Employee (TTM),Simple Moving Average (10),Simple Moving Average (100),Simple Moving Average (20),Simple Moving Average (200),Simple Moving Average (30),Simple Moving Average (5),Simple Moving Average (50),Volatility,Volatility Month,Volatility Week,Volume Weighted Average Price,Volume Weighted Moving Average (20),Volume*Price,Weekly Performance,YTD Performance,Yearly Performance,Upcoming Earnings Date
ELYS,Consumer Services,9678876.957,48.22695035,2.25,147448,1362422,2.1,2.09,2.2,2,48.93617021,0.69,35070210,,-0.598,67,,,,1.65830331,,2.65,1.36,2.1708546,2.65,1.36,,2.65,1.36,2.65,1.36,,4540,0.0044,,,,1991625.5,,,,-0.9069,0.1,4.76190476,0.05,2.43902439,0.02,0.9009009,-0.0101,-0.48095238,0.02,0.90909091,0.01,0.4784689,Canada,20942300,,NASDAQ,1.58490045,,Casinos/Gaming,0.535,,137,Doji,0.11,5.23809524,2.21,2.25,2.08,2.15,14095,0.61,43.26241135,-0.09,-4.26540284,2.02,49.64539007,2.02,2.11,3.05469949,1.99771,,0.93010992,45.83333333,2020-11-20,0.73050301,531091.50746269,1.525,,,,,1.564,,39.5,,24.44908272,2.1,,2861086.2,45.83333333,,,2021-04-21
UCLE,Electronic Technology,10827360.2436,47.53046825,,,23966,0.229,0.23,0.23,0.18155,46.88903143,0.0731,5346302.7,,-0.1506,,0.20049769,0.55418263,0.2317791,0.1780643,0.29298987,0.3,0.1031,0.3200572,0.55,0.1031,-55.96153846,1.41,0.1031,0.99,0.1031,-72.74134032,5,0.06,0.04264071,49.65920754,0.05397504,82845.9,65845.8,48965.66666667,39514.57777778,-0.1727,0.039,20.52631579,0.039,20.52631579,0.022,10.62801932,0.0731,46.88903143,0.039,20.52631579,-0.001,-0.43478261,United States,9733900,,OTC,0.17714099,0.41111533,Electronic Equipment/Instruments,0.05,-12.59541985,54,"Dragonfly Doji, Hammer, Long Lower Shadow",,,,,,,,,,,,,,,,1.84017941,5.85129,1289.77,1.89139096,35.10324484,2020-11-18,0.28390554,,0.175695,0.441791,0.1888775,0.61485612,0.22734167,0.16029,0.304929,40.81520242,28.90632725,35.33720833,0.21351667,0.16712951,5488.214,43.125,-69.05405405,-76.63265306,
TFECY,Electronic Technology,778347739.3709999,45.56962025,,,15000,0.23,0.23,0.23,0.23,45.56962025,0.072,33893109.87597664,,-0.40012398,23,0.19820034,2.79383785,0.20890316,0.19604617,0.25951665,0.2887,0.13,0.9669777,0.65,0.1,-41.40127389,11.76,0.0656,2.5,0.0656,-81.4516129,76,0.0656,0.02133571,21.96418897,0.06767398,3953.3,10533.96666667,6807.08333333,4976.94444444,-0.60808212,0.072,45.56962025,0.072,45.56962025,0,0,0.072,45.56962025,0,0,0,0,Norway,42332791.82609067,,OTC,0.19210017,0.63440031,Semiconductors,-0.0453,3.41726619,6964,,,,,,,,,,,,,,,,,,,,193.22447658,27.77777778,,4.21845998,30530.30232249,0.1771,0.4396022,0.20269,1.1280483,0.21621,0.19748,0.202665,31.30434783,13.88075615,0.17555409,0.23,0.21951553,3450,60.83916084,-78.72340426,-97.84644195,
SUME,Producer Manufacturing,14389339.3605,44.11764706,,,581,1.47,1.47,1.47,1.47,44.11764706,0.45,46844343,,-0.3149,90,1.29221564,1.63656374,1.30455102,1.35167399,1.35985392,1.51,0.75,0.02932843,2,0.75,-8.97832817,5,0.75,2.49,0.75,-33.18181818,8.17,0.2,0.12343929,20.7099104,0.23709531,963.5,1675.66666667,1913.05,1599.75555556,-0.3481,0.45,44.11764706,0.45,44.11764706,0.45,44.11764706,0.45,44.11764706,0.45,44.11764706,0,0,United States,55564000,,OTC,1.31634273,1.50763294,Building Products,0.32,-2,144,Bullish Harami,,,,,,,,,,,,,,,,6.32362058,18.7519,,0.18467191,79.0063322,2020-11-19,0.59346272,1847953.25555556,1.29662,1.549419,1.23284,1.8678495,1.29939667,1.398,1.315538,30.6122449,14.21990487,9.41176471,1.47,1.15882933,854.07,-2.64900662,-15.27377522,11.36363636,
JRVMF,Non-Energy Minerals,702980143.98,43.01049036,,,230898,0.22,0.2931,0.2931,0.21,7.34325445,0.01505,169860900,,-0.00645073,,0.21088875,0.17904763,0.21183921,0.21143161,0.21094082,0.2931,0.171,1.1702809,0.2931,0.171,-1.74184904,0.2931,0.046,0.2931,0.082,91.30434783,0.2931,0.046,0.03491429,15.92345196,0.03366107,407156.1,267958.5,267679.78333333,362649.54444444,-0.00984557,0.005,2.3255814,0,0,0,0,0.01505,7.34325445,0.0025,1.14942529,-0.0731,-24.94029342,Australia,136635153.63498878,,OTC,0.21057009,0.19832272,Precious Metals,0.02,4.51306413,2362,,,,,,,,,,,,,,,,,1.72625567,1.82013,,,-2.22222222,2020-10-29,0.58668043,,0.212999,0.20300115,0.2077945,0.15948297,0.211133,0.207898,0.2157002,41.97619048,17.64888787,19.0896374,0.24103333,0.20937764,50797.56,5.76923077,54.38596491,71.20622568,2021-02-24
SPIN,Technology Services,11580199.956,40.625,,,45984,0.039,0.045,0.045,0.039,21.875,0.007,789399,,-0.0287,3,0.03651668,0.04502501,0.03592746,0.03629513,0.03444825,0.0598,0.026,0.8197541,0.061,0.0241,56,0.15,0.0105,0.061,0.013,62.5,711.111111,0.0105,0.00378214,26.12659736,0.0076782,18325.7,19882.8,21608.16666667,21155.08888889,-0.0797,-0.006,-13.33333333,-0.006,-13.33333333,-0.006,-13.33333333,-0.006,-13.33333333,-0.006,-13.33333333,-0.006,-13.33333333,United States,1220730,,OTC,0.03661678,0.03256974,Internet Software/Services,0,0,66,Marubozu Black,,,,,,,,,,,,,,,,13.2231405,,0.763927,3.01143384,-0.25575448,2020-11-13,2.79730149,69791,0.03779,0.0296185,0.037735,0.02727305,0.03615333,0.035,0.034674,33.33333333,19.19130446,7.4012474,0.041,0.03993586,1793.376,9.85915493,62.5,-56.66666667,
HEYBF,Technology Services,73507900.09979999,40.5,,,100,0.01405,0.01405,0.01405,0.01405,40.5,0.00405,1326845.47,,-0.05154185,,0.01794018,,0.02126157,0.01361914,0.02907086,0.03245,0.0064,1.7231392,0.05364,0.0064,-57.16463415,0.16,0.0064,0.16,0.0064,,0.16,0.0064,0.00082286,11.11180489,0.00534143,41702.3,20865.06666667,14297.01666667,14820.41111111,-0.05043378,0.00405,40.5,0.00405,40.5,0.00405,40.5,0.00405,40.5,0.00405,40.5,0,0,Canada,2651842.87812041,,OTC,0.01485426,0.04897017,Packaged Software,-0.00495,-50.52816901,,,,,,,,,,,,,,,,,,0.25852273,1.22026,,50.77556059,-29.75,2020-09-01,0.00239279,,0.014455,0.0472445,0.01694425,,0.021163,0.01425,0.0287326,28.82562278,6.76849687,1.62,0.01405,0.01583768,1.405,-19.71428571,,,
VYCO,Health Technology,8838303.5598,40,,,11550,0.138,0.14,0.14,0.138,38,0.038,3711606.6,,-0.0454,9,0.14670154,0.17236092,0.15696379,0.12175129,0.16761414,0.198,0.0801,1.2814304,0.476,0.0801,-42.5,0.51,0.0102,0.478,0.0251,228.57142857,52.4965,0.0102,0.01303571,25.07898509,0.03729135,16989.5,7954.1,9595.51666667,9387.33333333,-0.0468,0,0,0,0,0,0,0,0,0,0,-0.002,-1.42857143,United States,5379630,,OTC,0.13171322,0.16792499,Medical Specialties,-0.010255,-7.07070707,150,,,,,,,,,,,,,,,,,,,,2.15032847,-22.90502793,2020-11-13,0.72707815,164639,0.13599,0.1804931,0.15235775,0.14285583,0.1614835,0.11608,0.1731458,28.98550725,15.75223393,8.10148693,0.13866667,0.11704765,1593.9,-8.30564784,-0.19382648,-8,
TIXC,Consumer Services,13444617.1816,40,,,400,0.21,0.21,0.21,0.21,40,0.06,3640812,,-0.3074,98,0.19195369,0.21951274,0.18778523,0.18866529,0.18138989,0.22,0.15,1.9812208,0.22,0.071,16.66666667,0.95,0.0662,0.24,0.07,133.33333333,60,0.01,0.02822143,38.93522658,0.0333056,7188,9415.86666667,5463,5627.96666667,-0.1714,0.06,40,0.06,40,0,0,0.06,40,0,0,0,0,United States,5980840,5.90765,OTC,0.19273043,0.18281004,Movies/Entertainment,-0.01,10.52631579,128,,,,,,,,,,,,,,,,,1.17600941,,,0.52011525,-4.54545455,2020-11-16,0.05557099,130061.2244898,0.1995,0.1753445,0.198,0.2068675,0.18730167,0.184,0.171601,28.57142857,15.56682524,13.45914596,0.21,0.19335121,84,5,-57.66129032,-63.79310345,2021-03-31
AHNR,Non-Energy Minerals,11071907.3178,37.77777778,,,28464,0.062,0.062,0.062,0.05,37.77777778,0.017,2351802.6,,-0.0087,1,0.05677492,0.06548774,0.05813426,0.05390305,0.06072899,0.065,0.035,-2.117331,0.12,0.026,-22.5,0.33,0.011,0.148,0.021,77.14285714,1.1,0.011,0.01090714,61.83236613,0.01234931,11803.3,10753.6,19903.76666667,24133.24444444,-0.0073,0.012,24,0.012,24,0.012,24,0,0,0.012,24,0,0,United States,4382100,,OTC,0.0552592,0.062556,Precious Metals,0.003,-4.46841294,60,"Dragonfly Doji, Long Lower Shadow",,,,,,,,,,,,,,,,,,,,-4.61538462,2020-11-04,2.88772332,0,0.05819,0.0719849,0.0563325,0.05354412,0.05776467,0.0514,0.0597368,34,25.35820406,17.3,0.058,0.05784961,1764.768,-4.61538462,63.15789474,-34.73684211,
WRHLF,Finance,121507502.16,37.69230769,,,77793,0.0175,0.0179,0.0179,0.0175,34.61538462,0.0045,4027100,,,,0.01531497,,0.01630193,0.01580223,0.02217215,0.0205,0.01,0.716136,0.078,0.0082,-75,1,0.0082,0.168,0.0082,-85.41666667,1,0.0082,0.00450357,14.30878377,0.00455321,189795.5,178231.43333333,319215.91666667,298054.58888889,-0.00089089,-0.0004,-2.23463687,0.0045,34.61538462,-0.0004,-2.23463687,0.0045,34.61538462,-0.0004,-2.23463687,-0.0004,-2.23463687,United Kingdom,,,OTC,0.01560148,0.04608326,Financial Conglomerates,-0.0005,52.17391304,,,,,,,,,,,,,,,,,,0.88513891,,,,-12.5,,0.35548831,,0.01612,0.0406534,0.01493325,,0.01403967,0.01508,0.0146488,28,25.86252074,25.5097431,0.01763333,0.0153585,1361.3775,-2.23463687,,,
ABMT,Health Technology,22038066.45,35.07853403,,,1000,0.258,0.258,0.258,0.258,35.07853403,0.067,18053550,,-0.0104,15,0.20483158,0.29999312,0.21530647,0.20120154,0.22393393,0.338,0.122,-4.880544,0.51,0.083,44.94382022,2,0.012,0.75,0.012,91.11111111,8,0.012,0.01521429,17.25663827,0.06487443,3328.6,5129.56666667,4341.98333333,3731.62222222,-0.0136,0.067,35.07853403,0.067,35.07853403,0.067,35.07853403,0.067,35.07853403,0.067,35.07853403,0,0,United States,20415600,,OTC,0.19350377,0.23642064,Medical Specialties,0.076,37.96791444,59,,,,,,,,,,,,,,,,,,,,183.31590978,41.75824176,2020-09-21,0.25955823,777.13333333,0.1737,0.2024485,0.2097225,0.24344675,0.22357833,0.183,0.259387,25.96899225,17.77506114,11.2195122,0.258,0.20026142,258,69.73684211,158,-72.25806452,
KNRLF,Non-Energy Minerals,16232618.08,33.69222798,,,58331,2.805,2.58026,2.84,2.549,45.33678756,0.875,82893360,,-0.06284875,,2.42666111,1.60173535,2.56012715,2.21066299,2.56896514,3.7,1.42,1.3333032,5.39,1.225612,148.2300885,5.39,0.1747,5.39,0.29079,750,5.39,0.013,0.36321614,24.60083603,0.40196093,73800.4,53061.06666667,79421.13333333,72509.86666667,-0.07117794,-0.015,-0.53191489,0.005,0.17857143,-0.015,-0.53191489,0.875,45.33678756,-0.015,-0.53191489,0.22474,8.70997496,Canada,17912114.53744493,,OTC,2.21514151,2.17840293,Other Metals/Minerals,0.225,10.86956522,,,,,,,,,,,,,,,,,,44.28038747,14.9444,,6.53634683,7.0610687,2020-09-02,0.80281372,,2.1185,2.05204637,2.50981,1.1979825,2.74412397,2.029,3.0211109,35.70027462,17.63361534,10.14066928,2.73133333,2.29249754,163618.455,46.09375,493.52517986,395.4954955,2020-11-30
CAPC,Technology Services,27291264.836,32.01320132,,,1281,0.06,0.06,0.06,0.06,32.01320132,0.01455,2777784,,-0.0568,14,0.05919687,0.09675921,0.06150327,0.05555942,0.06559057,0.1,0.026,1.3430492,0.1,0.026,-17.24137931,0.1825,0.026,0.1198,0.026,-32.96089385,252.998438,0.007496,0.00923214,14.05099653,0.01496777,47898,32166.96666667,21538.03333333,23695.5,-0.019,0.01455,32.01320132,0.01455,32.01320132,0.01455,32.01320132,0.01455,32.01320132,0.01455,32.01320132,0,0,United States,2248370,,OTC,0.05679112,0.07558889,Internet Software/Services,0,-0.82644628,291,,,,,,,,,,,,,,,,,0.42540247,1.01719,,0.86633416,1.69491525,2020-11-16,0.0262662,886031.78571429,0.057155,0.0737403,0.0597325,0.0993324,0.061571,0.05759,0.0669386,24.25,24.6569693,25.94485598,0.06,0.05742234,76.86,-2.43902439,-53.84615385,-64.70588235,
APXT,Finance,35002484.5,31.57415833,18.92,9689249,37280749,14.2,14.46,15.43,13.71,29.20837125,3.21,632752000,361.51315789,0.0304,2,10.71178184,10.18269728,10.58602518,11.77517751,10.4923431,15.43,10.06,0.21853763,15.43,10.05,40.17769003,15.43,9.125,15.43,9.76,44.89795918,15.43,9.125,0.31884286,28.2131783,0.52991054,6074548.2,2123248.76666667,1243397.86666667,843148.51111111,0.0204,0.2,1.35135135,0.3,2.04081633,0.0245,0.16360055,0.86,6.08203678,0.0701,0.46952759,-0.26,-1.79806362,United States,471867000,,NASDAQ,11.10748861,10.38780653,Financial Conglomerates,4,39.76377953,3,,1.07,7.53521127,15.27,15.3,14.91,14.99,133575,3.5,31.84713376,1.5,11.54734411,14.49,18.19836215,12.71,12.99,1.44365161,1.39044,,,38.671875,2020-11-16,15.88322054,0,10.754,10.43252,10.445495,10.1653075,10.41733,11.25,10.49409,32.38512035,2.2003469,5.95626498,14.44666667,12.74525874,529386635.7999999,39.62635202,43.87031408,,
VGGOF,Finance,8390665.452,29.58322342,,,7135,0.208,0.3144,0.3144,0.208,-14.27064099,-0.034624,2645593.6,,,,0.20917879,3.39627234,0.20255548,0.22512063,0.20040563,0.3144,0.15636,1.5445247,0.3144,0.122,-4.1032734,10.2036,0.0956,0.393,0.113,18.58608894,119.604,0.0956,0.02478971,12.0483517,0.03983028,7268.7,5973.4,4176.25,3992.21111111,-0.71069983,-0.034624,-14.27064099,-0.034624,-14.27064099,-0.034624,-14.27064099,-0.034624,-14.27064099,-0.034624,-14.27064099,-0.1064,-33.84223919,Canada,1632491.10986337,,OTC,0.2200982,0.38470284,Regional Banks,0.04212,15.94202899,,Marubozu Black,,,,,,,,,,,,,,,,,1.20882,,,6.72139559,2020-11-07,1.0867413,,0.2226424,0.20237104,0.2052497,0.46379592,0.19589313,0.2264248,0.18476998,51.15384615,11.86204741,21.14354207,0.24346667,0.21135837,1484.08,-16.8,-54.66730597,-97.36375158,2021-05-19
